TrapCoded,RESTUANS,PIPIENS,DaylightMinutes,DewPoint,Tmax,Week,Dist_to_Closest_Spray,Days_Since_Spray
1,1,1,910,55,86,24,1.5,720
1,1,0,910,55,86,24,1.5,720
1,0,1,910,55,86,24,1.5,720
1,0,0,910,55,86,24,1.5,720
1,0,0,910,55,86,24,1.5,720
1,0,0,910,55,86,24,1.5,720
1,0,0,910,55,86,24,1.5,720
1,0,0,910,55,86,24,1.5,720
8,1,1,910,56,86,24,1.5,720
8,1,0,910,56,86,24,1.5,720
8,0,1,910,56,86,24,1.5,720
8,0,0,910,56,86,24,1.5,720
8,0,0,910,56,86,24,1.5,720
8,0,0,910,56,86,24,1.5,720
8,0,0,910,56,86,24,1.5,720
8,0,0,910,56,86,24,1.5,720
15,1,1,910,56,86,24,1.5,720
15,1,0,910,56,86,24,1.5,720
15,0,1,910,56,86,24,1.5,720
15,0,0,910,56,86,24,1.5,720
15,0,0,910,56,86,24,1.5,720
15,0,0,910,56,86,24,1.5,720
15,0,0,910,56,86,24,1.5,720
15,0,0,910,56,86,24,1.5,720
34,1,1,910,55,86,24,1.5,720
34,1,0,910,55,86,24,1.5,720
34,0,1,910,55,86,24,1.5,720
34,0,0,910,55,86,24,1.5,720
34,0,0,910,55,86,24,1.5,720
34,0,0,910,55,86,24,1.5,720
34,0,0,910,55,86,24,1.5,720
34,0,0,910,55,86,24,1.5,720
35,1,1,910,55,86,24,1.5,720
35,1,0,910,55,86,24,1.5,720
35,0,1,910,55,86,24,1.5,720
35,0,0,910,55,86,24,1.5,720
35,0,0,910,55,86,24,1.5,720
35,0,0,910,55,86,24,1.5,720
35,0,0,910,55,86,24,1.5,720
35,0,0,910,55,86,24,1.5,720
37,1,1,910,55,86,24,1.5,720
37,1,0,910,55,86,24,1.5,720
37,0,1,910,55,86,24,1.5,720
37,0,0,910,55,86,24,1.5,720
37,0,0,910,55,86,24,1.5,720
37,0,0,910,55,86,24,1.5,720
37,0,0,910,55,86,24,1.5,720
37,0,0,910,55,86,24,1.5,720
38,1,1,910,55,86,24,1.5,720
38,1,0,910,55,86,24,1.5,720
38,0,1,910,55,86,24,1.5,720
38,0,0,910,55,86,24,1.5,720
38,0,0,910,55,86,24,1.5,720
38,0,0,910,55,86,24,1.5,720
38,0,0,910,55,86,24,1.5,720
38,0,0,910,55,86,24,1.5,720
39,1,1,910,55,86,24,1.5,720
39,1,0,910,55,86,24,1.5,720
39,0,1,910,55,86,24,1.5,720
39,0,0,910,55,86,24,1.5,720
39,0,0,910,55,86,24,1.5,720
39,0,0,910,55,86,24,1.5,720
39,0,0,910,55,86,24,1.5,720
39,0,0,910,55,86,24,1.5,720
41,1,1,910,55,86,24,1.5,720
41,1,0,910,55,86,24,1.5,720
41,0,1,910,55,86,24,1.5,720
41,0,0,910,55,86,24,1.5,720
41,0,0,910,55,86,24,1.5,720
41,0,0,910,55,86,24,1.5,720
41,0,0,910,55,86,24,1.5,720
41,0,0,910,55,86,24,1.5,720
68,1,1,910,55,86,24,1.5,720
68,1,0,910,55,86,24,1.5,720
68,0,1,910,55,86,24,1.5,720
68,0,0,910,55,86,24,1.5,720
68,0,0,910,55,86,24,1.5,720
68,0,0,910,55,86,24,1.5,720
68,0,0,910,55,86,24,1.5,720
68,0,0,910,55,86,24,1.5,720
75,1,1,910,55,86,24,1.5,720
75,1,0,910,55,86,24,1.5,720
75,0,1,910,55,86,24,1.5,720
75,0,0,910,55,86,24,1.5,720
75,0,0,910,55,86,24,1.5,720
75,0,0,910,55,86,24,1.5,720
75,0,0,910,55,86,24,1.5,720
75,0,0,910,55,86,24,1.5,720
77,1,1,910,55,86,24,1.5,720
77,1,0,910,55,86,24,1.5,720
77,0,1,910,55,86,24,1.5,720
77,0,0,910,55,86,24,1.5,720
77,0,0,910,55,86,24,1.5,720
77,0,0,910,55,86,24,1.5,720
77,0,0,910,55,86,24,1.5,720
77,0,0,910,55,86,24,1.5,720
80,1,1,910,55,86,24,1.5,720
80,1,0,910,55,86,24,1.5,720
80,0,1,910,55,86,24,1.5,720
80,0,0,910,55,86,24,1.5,720
80,0,0,910,55,86,24,1.5,720
80,0,0,910,55,86,24,1.5,720
80,0,0,910,55,86,24,1.5,720
80,0,0,910,55,86,24,1.5,720
91,1,1,910,55,86,24,1.5,720
91,1,0,910,55,86,24,1.5,720
91,0,1,910,55,86,24,1.5,720
91,0,0,910,55,86,24,1.5,720
91,0,0,910,55,86,24,1.5,720
91,0,0,910,55,86,24,1.5,720
91,0,0,910,55,86,24,1.5,720
91,0,0,910,55,86,24,1.5,720
96,1,1,910,56,86,24,1.5,720
96,1,0,910,56,86,24,1.5,720
96,0,1,910,56,86,24,1.5,720
96,0,0,910,56,86,24,1.5,720
96,0,0,910,56,86,24,1.5,720
96,0,0,910,56,86,24,1.5,720
96,0,0,910,56,86,24,1.5,720
96,0,0,910,56,86,24,1.5,720
101,1,1,910,55,86,24,1.5,720
101,1,0,910,55,86,24,1.5,720
101,0,1,910,55,86,24,1.5,720
101,0,0,910,55,86,24,1.5,720
101,0,0,910,55,86,24,1.5,720
101,0,0,910,55,86,24,1.5,720
101,0,0,910,55,86,24,1.5,720
101,0,0,910,55,86,24,1.5,720
106,1,1,910,55,86,24,1.5,720
106,1,0,910,55,86,24,1.5,720
106,0,1,910,55,86,24,1.5,720
106,0,0,910,55,86,24,1.5,720
106,0,0,910,55,86,24,1.5,720
106,0,0,910,55,86,24,1.5,720
106,0,0,910,55,86,24,1.5,720
106,0,0,910,55,86,24,1.5,720
112,1,1,910,55,86,24,1.5,720
112,1,0,910,55,86,24,1.5,720
112,0,1,910,55,86,24,1.5,720
112,0,0,910,55,86,24,1.5,720
112,0,0,910,55,86,24,1.5,720
112,0,0,910,55,86,24,1.5,720
112,0,0,910,55,86,24,1.5,720
112,0,0,910,55,86,24,1.5,720
10,1,1,910,56,86,24,1.5,720
10,1,0,910,56,86,24,1.5,720
10,0,1,910,56,86,24,1.5,720
10,0,0,910,56,86,24,1.5,720
10,0,0,910,56,86,24,1.5,720
10,0,0,910,56,86,24,1.5,720
10,0,0,910,56,86,24,1.5,720
10,0,0,910,56,86,24,1.5,720
11,1,1,910,56,86,24,1.5,720
11,1,0,910,56,86,24,1.5,720
11,0,1,910,56,86,24,1.5,720
11,0,0,910,56,86,24,1.5,720
11,0,0,910,56,86,24,1.5,720
11,0,0,910,56,86,24,1.5,720
11,0,0,910,56,86,24,1.5,720
11,0,0,910,56,86,24,1.5,720
16,1,1,910,56,86,24,1.5,720
16,1,0,910,56,86,24,1.5,720
16,0,1,910,56,86,24,1.5,720
16,0,0,910,56,86,24,1.5,720
16,0,0,910,56,86,24,1.5,720
16,0,0,910,56,86,24,1.5,720
16,0,0,910,56,86,24,1.5,720
16,0,0,910,56,86,24,1.5,720
19,1,1,910,55,86,24,1.5,720
19,1,0,910,55,86,24,1.5,720
19,0,1,910,55,86,24,1.5,720
19,0,0,910,55,86,24,1.5,720
19,0,0,910,55,86,24,1.5,720
19,0,0,910,55,86,24,1.5,720
19,0,0,910,55,86,24,1.5,720
19,0,0,910,55,86,24,1.5,720
20,1,1,910,55,86,24,1.5,720
20,1,0,910,55,86,24,1.5,720
20,0,1,910,55,86,24,1.5,720
20,0,0,910,55,86,24,1.5,720
20,0,0,910,55,86,24,1.5,720
20,0,0,910,55,86,24,1.5,720
20,0,0,910,55,86,24,1.5,720
20,0,0,910,55,86,24,1.5,720
22,1,1,910,55,86,24,1.5,720
22,1,0,910,55,86,24,1.5,720
22,0,1,910,55,86,24,1.5,720
22,0,0,910,55,86,24,1.5,720
22,0,0,910,55,86,24,1.5,720
22,0,0,910,55,86,24,1.5,720
22,0,0,910,55,86,24,1.5,720
22,0,0,910,55,86,24,1.5,720
24,1,1,910,55,86,24,1.5,720
24,1,0,910,55,86,24,1.5,720
24,0,1,910,55,86,24,1.5,720
24,0,0,910,55,86,24,1.5,720
24,0,0,910,55,86,24,1.5,720
24,0,0,910,55,86,24,1.5,720
24,0,0,910,55,86,24,1.5,720
24,0,0,910,55,86,24,1.5,720
25,1,1,910,55,86,24,1.5,720
25,1,0,910,55,86,24,1.5,720
25,0,1,910,55,86,24,1.5,720
25,0,0,910,55,86,24,1.5,720
25,0,0,910,55,86,24,1.5,720
25,0,0,910,55,86,24,1.5,720
25,0,0,910,55,86,24,1.5,720
25,0,0,910,55,86,24,1.5,720
70,1,1,910,55,86,24,1.5,720
70,1,0,910,55,86,24,1.5,720
70,0,1,910,55,86,24,1.5,720
70,0,0,910,55,86,24,1.5,720
70,0,0,910,55,86,24,1.5,720
70,0,0,910,55,86,24,1.5,720
70,0,0,910,55,86,24,1.5,720
70,0,0,910,55,86,24,1.5,720
71,1,1,910,55,86,24,1.5,720
71,1,0,910,55,86,24,1.5,720
71,0,1,910,55,86,24,1.5,720
71,0,0,910,55,86,24,1.5,720
71,0,0,910,55,86,24,1.5,720
71,0,0,910,55,86,24,1.5,720
71,0,0,910,55,86,24,1.5,720
71,0,0,910,55,86,24,1.5,720
76,1,1,910,55,86,24,1.5,720
76,1,0,910,55,86,24,1.5,720
76,0,1,910,55,86,24,1.5,720
76,0,0,910,55,86,24,1.5,720
76,0,0,910,55,86,24,1.5,720
76,0,0,910,55,86,24,1.5,720
76,0,0,910,55,86,24,1.5,720
76,0,0,910,55,86,24,1.5,720
92,1,1,910,55,86,24,1.5,720
92,1,0,910,55,86,24,1.5,720
92,0,1,910,55,86,24,1.5,720
92,0,0,910,55,86,24,1.5,720
92,0,0,910,55,86,24,1.5,720
92,0,0,910,55,86,24,1.5,720
92,0,0,910,55,86,24,1.5,720
92,0,0,910,55,86,24,1.5,720
94,1,1,910,55,86,24,1.5,720
94,1,0,910,55,86,24,1.5,720
94,0,1,910,55,86,24,1.5,720
94,0,0,910,55,86,24,1.5,720
94,0,0,910,55,86,24,1.5,720
94,0,0,910,55,86,24,1.5,720
94,0,0,910,55,86,24,1.5,720
94,0,0,910,55,86,24,1.5,720
95,1,1,910,55,86,24,1.5,720
95,1,0,910,55,86,24,1.5,720
95,0,1,910,55,86,24,1.5,720
95,0,0,910,55,86,24,1.5,720
95,0,0,910,55,86,24,1.5,720
95,0,0,910,55,86,24,1.5,720
95,0,0,910,55,86,24,1.5,720
95,0,0,910,55,86,24,1.5,720
98,1,1,910,55,86,24,1.5,720
98,1,0,910,55,86,24,1.5,720
98,0,1,910,55,86,24,1.5,720
98,0,0,910,55,86,24,1.5,720
98,0,0,910,55,86,24,1.5,720
98,0,0,910,55,86,24,1.5,720
98,0,0,910,55,86,24,1.5,720
98,0,0,910,55,86,24,1.5,720
99,1,1,910,55,86,24,1.5,720
