TrapCoded,RESTUANS,PIPIENS,DaylightMinutes,DewPoint,Tmax,Week,Dist_to_Closest_Spray,Days_Since_Spray
1,1,1,896,59,88,22,1.5,720
1,1,0,896,59,88,22,1.5,720
6,1,0,896,58,88,22,1.5,720
13,1,1,896,58,88,22,1.5,720
13,1,0,896,58,88,22,1.5,720
32,1,0,896,59,88,22,1.5,720
33,1,0,896,59,88,22,1.5,720
35,1,1,896,59,88,22,1.5,720
35,1,0,896,59,88,22,1.5,720
36,1,0,896,59,88,22,1.5,720
37,1,1,896,59,88,22,1.5,720
39,1,1,896,59,88,22,1.5,720
39,1,0,896,59,88,22,1.5,720
65,1,1,896,59,88,22,1.5,720
65,1,0,896,59,88,22,1.5,720
69,1,0,896,59,88,22,1.5,720
71,1,0,896,59,88,22,1.5,720
74,1,0,896,59,88,22,1.5,720
74,0,1,896,59,88,22,1.5,720
84,1,1,896,59,88,22,1.5,720
84,1,0,896,59,88,22,1.5,720
89,1,1,896,58,88,22,1.5,720
94,1,1,896,59,88,22,1.5,720
99,1,0,896,59,88,22,1.5,720
105,1,0,896,59,88,22,1.5,720
1,1,1,906,47,63,23,1.5,720
1,1,0,906,47,63,23,1.5,720
1,0,1,906,47,63,23,1.5,720
13,1,1,906,48,64,23,1.5,720
13,1,0,906,48,64,23,1.5,720
32,1,1,906,47,63,23,1.5,720
32,1,0,906,47,63,23,1.5,720
32,0,1,906,47,63,23,1.5,720
33,1,0,906,47,63,23,1.5,720
35,1,1,906,47,63,23,1.5,720
35,1,0,906,47,63,23,1.5,720
35,0,1,906,47,63,23,1.5,720
36,1,0,906,47,63,23,1.5,720
37,1,1,906,47,63,23,1.5,720
37,1,0,906,47,63,23,1.5,720
39,1,0,906,47,63,23,1.5,720
65,1,0,906,47,63,23,1.5,720
71,1,1,906,47,63,23,1.5,720
74,1,1,906,47,63,23,1.5,720
74,1,0,906,47,63,23,1.5,720
74,0,1,906,47,63,23,1.5,720
89,1,1,906,48,64,23,1.5,720
89,1,0,906,48,64,23,1.5,720
99,1,0,906,47,63,23,1.5,720
105,1,0,906,47,63,23,1.5,720
8,1,0,906,48,64,23,1.5,720
9,1,0,906,48,64,23,1.5,720
14,1,0,906,48,64,23,1.5,720
17,1,0,906,47,63,23,1.5,720
18,1,0,906,47,63,23,1.5,720
20,1,0,906,47,63,23,1.5,720
22,1,1,906,47,63,23,1.5,720
23,1,0,906,47,63,23,1.5,720
67,1,0,906,47,63,23,1.5,720
68,1,1,906,47,63,23,1.5,720
68,1,0,906,47,63,23,1.5,720
