Species,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,YMD,PIPIENS,RESTUANS,SALINARIUS,TERRITANS,Station,Tmax,Tmin,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,Days_Since_Spray,Dist_to_Closest_Spray
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.95469,-87.800991,9,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.994991,-87.769279,9,1,0,2007-05-29,0,1,0,0,1,88,60,58,65.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-05-29,1,1,0,0,1,88,60,58,65.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.974089,-87.824812,8,4,0,2007-05-29,0,1,0,0,1,88,60,58,65.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.9216,-87.666455,8,2,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.891118,-87.654491,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.867108,-87.654224,8,2,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.896282,-87.655232,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
