Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,YMD,PIPIENS,RESTUANS,SALINARIUS,TERRITANS,Station,Tmax,Tmin,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,Days_Since_Spray,Dist_to_Closest_Spray,Week,DaylightMinutes
CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0,2007-05-29 00:00:00,1,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,41,T002,41.95469,-87.800991,9,1,0,2007-05-29 00:00:00,0,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,62,T007,41.994991,-87.769279,9,1,0,2007-05-29 00:00:00,0,1,0,0,1,88,60,58,65.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0,2007-05-29 00:00:00,1,1,0,0,1,88,60,58,65.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,79,T015,41.974089,-87.824812,8,4,0,2007-05-29 00:00:00,0,1,0,0,1,88,60,58,65.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0,2007-05-29 00:00:00,0,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,25,T046,41.891118,-87.654491,8,1,0,2007-05-29 00:00:00,0,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0,2007-05-29 00:00:00,1,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,11,T048,41.867108,-87.654224,8,2,0,2007-05-29 00:00:00,0,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0,2007-05-29 00:00:00,0,1,0,0,2,88,65,59,66.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5,22,896
