Species,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,YMD
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,1,0,2007-05-29
CULEX RESTUANS,41.95469,-87.800991,9,1,0,2007-05-29
CULEX RESTUANS,41.994991,-87.769279,9,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-05-29
CULEX RESTUANS,41.974089,-87.824812,8,4,0,2007-05-29
CULEX RESTUANS,41.9216,-87.666455,8,2,0,2007-05-29
CULEX RESTUANS,41.891118,-87.654491,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,1,0,2007-05-29
CULEX RESTUANS,41.867108,-87.654224,8,2,0,2007-05-29
CULEX RESTUANS,41.896282,-87.655232,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,8,2,0,2007-05-29
CULEX RESTUANS,41.921965,-87.632085,8,3,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-05-29
CULEX RESTUANS,41.688324,-87.676709,8,1,0,2007-05-29
CULEX RESTUANS,41.862292,-87.64886,8,1,0,2007-05-29
CULEX RESTUANS,41.720848,-87.666014,9,3,0,2007-05-29
CULEX RESTUANS,41.731922,-87.677512,8,5,0,2007-05-29
CULEX PIPIENS,41.731922,-87.677512,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,5,1,0,2007-05-29
CULEX RESTUANS,41.891126,-87.61156,5,2,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,1,0,2007-05-29
CULEX RESTUANS,41.907645,-87.760886,8,1,0,2007-05-29
CULEX RESTUANS,41.732984,-87.649642,8,1,0,2007-05-29
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,3,0,2007-06-05
CULEX RESTUANS,41.95469,-87.800991,9,5,0,2007-06-05
CULEX PIPIENS,41.95469,-87.800991,9,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-06-05
CULEX RESTUANS,41.974089,-87.824812,8,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,1,0,2007-06-05
CULEX RESTUANS,41.9216,-87.666455,8,2,0,2007-06-05
CULEX PIPIENS,41.9216,-87.666455,8,1,0,2007-06-05
CULEX RESTUANS,41.891118,-87.654491,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,1,0,2007-06-05
CULEX RESTUANS,41.867108,-87.654224,8,1,0,2007-06-05
CULEX PIPIENS,41.867108,-87.654224,8,2,0,2007-06-05
CULEX RESTUANS,41.896282,-87.655232,8,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,8,1,0,2007-06-05
CULEX RESTUANS,41.919343,-87.694259,8,1,0,2007-06-05
CULEX RESTUANS,41.921965,-87.632085,8,3,0,2007-06-05
CULEX RESTUANS,41.688324,-87.676709,8,4,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.720848,-87.666014,9,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.731922,-87.677512,8,1,0,2007-06-05
CULEX RESTUANS,41.731922,-87.677512,8,1,0,2007-06-05
CULEX PIPIENS,41.731922,-87.677512,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,2,0,2007-06-05
CULEX RESTUANS,41.999129,-87.795585,8,9,0,2007-06-05
CULEX RESTUANS,41.907645,-87.760886,8,3,0,2007-06-05
CULEX RESTUANS,41.732984,-87.649642,8,1,0,2007-06-05
CULEX RESTUANS,41.981964,-87.812827,8,2,0,2007-06-05
CULEX RESTUANS,41.944869,-87.832763,8,1,0,2007-06-05
CULEX RESTUANS,42.011601,-87.811506,8,1,0,2007-06-05
CULEX RESTUANS,41.94983,-87.698457,9,1,0,2007-06-05
CULEX RESTUANS,41.979243,-87.750938,9,1,0,2007-06-05
CULEX RESTUANS,41.986921,-87.689778,9,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.801498,-87.763416,9,1,0,2007-06-05
CULEX RESTUANS,41.906638,-87.701431,9,3,0,2007-06-05
CULEX RESTUANS,41.723195,-87.64997,5,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,1,0,2007-06-05
CULEX RESTUANS,41.868077,-87.666901,9,7,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.869216,-87.627561,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.662014,-87.724608,8,2,0,2007-06-05
CULEX RESTUANS,41.662014,-87.724608,8,4,0,2007-06-05
CULEX PIPIENS,41.662014,-87.724608,8,1,0,2007-06-05
