TrapCoded,RESTUANS,PIPIENS,DaylightMinutes,DewPoint,Tmax,Week,Dist_to_Closest_Spray,Days_Since_Spray,NumMosquitos,WnvPresent
1,1,1,896,59,88,22,1.5,720,1,0
1,1,0,896,59,88,22,1.5,720,1,0
6,1,0,896,58,88,22,1.5,720,1,0
13,1,1,896,58,88,22,1.5,720,1,0
13,1,0,896,58,88,22,1.5,720,4,0
32,1,0,896,59,88,22,1.5,720,2,0
33,1,0,896,59,88,22,1.5,720,1,0
35,1,1,896,59,88,22,1.5,720,1,0
35,1,0,896,59,88,22,1.5,720,2,0
36,1,0,896,59,88,22,1.5,720,1,0
37,1,1,896,59,88,22,1.5,720,1,0
39,1,1,896,59,88,22,1.5,720,2,0
39,1,0,896,59,88,22,1.5,720,3,0
65,1,1,896,59,88,22,1.5,720,1,0
65,1,0,896,59,88,22,1.5,720,1,0
69,1,0,896,59,88,22,1.5,720,1,0
71,1,0,896,59,88,22,1.5,720,3,0
74,1,0,896,59,88,22,1.5,720,5,0
74,0,1,896,59,88,22,1.5,720,1,0
84,1,1,896,59,88,22,1.5,720,1,0
84,1,0,896,59,88,22,1.5,720,2,0
89,1,1,896,58,88,22,1.5,720,1,0
94,1,1,896,59,88,22,1.5,720,1,0
99,1,0,896,59,88,22,1.5,720,1,0
105,1,0,896,59,88,22,1.5,720,1,0
1,1,1,906,47,63,23,1.5,720,3,0
1,1,0,906,47,63,23,1.5,720,5,0
1,0,1,906,47,63,23,1.5,720,1,0
13,1,1,906,48,64,23,1.5,720,1,0
13,1,0,906,48,64,23,1.5,720,2,0
32,1,1,906,47,63,23,1.5,720,1,0
32,1,0,906,47,63,23,1.5,720,2,0
32,0,1,906,47,63,23,1.5,720,1,0
33,1,0,906,47,63,23,1.5,720,1,0
35,1,1,906,47,63,23,1.5,720,1,0
35,1,0,906,47,63,23,1.5,720,1,0
35,0,1,906,47,63,23,1.5,720,2,0
36,1,0,906,47,63,23,1.5,720,2,0
37,1,1,906,47,63,23,1.5,720,1,0
37,1,0,906,47,63,23,1.5,720,1,0
39,1,0,906,47,63,23,1.5,720,3,0
