Station,Tmax,Tmin,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,YMD
1,83,50,51,56.0,0448,1849,0.0,29.1,29.82,1.7,27,9.2,67,53.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-01
2,84,52,51,57.0,0448,1849,0.0,29.18,29.82,2.7,25,9.6,68,53.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-01
1,59,42,42,47.0,0447,1850,0.0,29.38,30.09,13.0,4,13.4,51,54.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-02
2,60,43,42,47.0,0447,1850,0.0,29.44,30.08,13.3,2,13.4,52,54.0,-2.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-02
1,66,46,40,48.0,0446,1851,0.0,29.39,30.12,11.7,7,11.9,56,54.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-03
2,67,48,40,50.0,0446,1851,0.0,29.46,30.12,12.9,6,13.2,58,54.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-03
1,66,49,41,50.0,0444,1852,1e-06,29.31,30.05,10.4,8,10.8,58,54.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-04
2,78,51,42,50.0,0444,1852,0.0,29.36,30.04,10.1,7,10.4,65,54.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-04
1,66,53,38,49.0,0443,1853,1e-06,29.4,30.1,11.7,7,12.0,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-05
2,66,54,39,50.0,0443,1853,1e-06,29.46,30.09,11.2,7,11.5,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-05
1,68,49,30,46.0,0442,1855,0.0,29.57,30.29,14.4,11,15.0,59,55.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-06
