Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise_DateTime,Sunset_DateTime,Tavg_float,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,YMD
1,2007-05-01 00:00:00,83,50,67,14.0,51,56.0,-1.5,-1.5,0448,1849, ,0,M,0.0,0.0,29.1,29.82,1.7,27,9.2,2007-05-01 04:48:00,2007-05-01 18:49:00,66.5,67,53.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-01 00:00:00
2,2007-05-01 00:00:00,84,52,68,,51,57.0,-3.0,-3.0,0448,1849, ,M,M,0.0,0.0,29.18,29.82,2.7,25,9.6,2007-05-01 04:48:00,2007-05-01 18:49:00,68.0,68,53.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-01 00:00:00
1,2007-05-02 00:00:00,59,42,51,-3.0,42,47.0,0.0,0.0,0447,1850,BR,0,M,0.0,0.0,29.38,30.09,13.0,4,13.4,2007-05-02 04:47:00,2007-05-02 18:50:00,50.5,51,54.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-02 00:00:00
2,2007-05-02 00:00:00,60,43,52,,42,47.0,0.0,0.0,0447,1850,BR HZ,M,M,0.0,0.0,29.44,30.08,13.3,2,13.4,2007-05-02 04:47:00,2007-05-02 18:50:00,51.5,52,54.0,-2.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-02 00:00:00
1,2007-05-03 00:00:00,66,46,56,2.0,40,48.0,0.0,0.0,0446,1851, ,0,M,0.0,0.0,29.39,30.12,11.7,7,11.9,2007-05-03 04:46:00,2007-05-03 18:51:00,56.0,56,54.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-03 00:00:00
2,2007-05-03 00:00:00,67,48,58,,40,50.0,0.0,0.0,0446,1851,HZ,M,M,0.0,0.0,29.46,30.12,12.9,6,13.2,2007-05-03 04:46:00,2007-05-03 18:51:00,57.5,58,54.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-03 00:00:00
1,2007-05-04 00:00:00,66,49,58,4.0,41,50.0,0.0,0.0,0444,1852,RA,0,M,0.0,1e-06,29.31,30.05,10.4,8,10.8,2007-05-04 04:44:00,2007-05-04 18:52:00,57.5,58,54.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-04 00:00:00
2,2007-05-04 00:00:00,78,51,M,,42,50.0,0.0,0.0,0444,1852, ,M,M,0.0,0.0,29.36,30.04,10.1,7,10.4,2007-05-04 04:44:00,2007-05-04 18:52:00,64.5,65,54.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-04 00:00:00
1,2007-05-05 00:00:00,66,53,60,5.0,38,49.0,0.0,0.0,0443,1853, ,0,M,0.0,1e-06,29.4,30.1,11.7,7,12.0,2007-05-05 04:43:00,2007-05-05 18:53:00,59.5,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-05 00:00:00
2,2007-05-05 00:00:00,66,54,60,,39,50.0,0.0,0.0,0443,1853, ,M,M,0.0,1e-06,29.46,30.09,11.2,7,11.5,2007-05-05 04:43:00,2007-05-05 18:53:00,60.0,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-05 00:00:00
1,2007-05-06 00:00:00,68,49,59,4.0,30,46.0,0.0,0.0,0442,1855, ,0,M,0.0,0.0,29.57,30.29,14.4,11,15.0,2007-05-06 04:42:00,2007-05-06 18:55:00,58.5,59,55.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-06 00:00:00
2,2007-05-06 00:00:00,68,52,60,,30,46.0,0.0,0.0,0442,1855, ,M,M,0.0,0.0,29.62,30.28,13.8,10,14.5,2007-05-06 04:42:00,2007-05-06 18:55:00,60.0,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-06 00:00:00
1,2007-05-07 00:00:00,83,47,65,10.0,41,54.0,0.0,0.0,0441,1856,RA,0,M,0.0,1e-06,29.38,30.12,8.6,18,10.5,2007-05-07 04:41:00,2007-05-07 18:56:00,65.0,65,55.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-07 00:00:00
2,2007-05-07 00:00:00,84,50,67,,39,53.0,-2.0,-2.0,0441,1856, ,M,M,0.0,0.0,29.44,30.12,8.5,17,9.9,2007-05-07 04:41:00,2007-05-07 18:56:00,67.0,67,55.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-07 00:00:00
1,2007-05-08 00:00:00,82,54,68,12.0,58,62.0,-3.0,-3.0,0439,1857,BR,0,M,0.0,0.0,29.29,30.03,2.7,11,5.8,2007-05-08 04:39:00,2007-05-08 18:57:00,68.0,68,56.0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-08 00:00:00
